"","code","name","pubpriv","enrollment","allvaccs","conditional","medical","religious","dptMiss","polMiss","mmrMiss","hepMiss","varMiss"
"183",6118699,"ART FREILER","PUBLIC",98,94.8979591836735,3.06122448979592,0,2.04081632653061,4.08163265306122,4.08163265306122,4.08163265306122,4.08163265306122,4.08163265306122
"6318",6972996,"ST. JOSEPH ELEMENTARY","PRIVATE",24,100,0,0,0,0,0,0,0,0
"2066",6043855,"MARGARET PAULINE BROWN ELEMENTARY","PUBLIC",88,92.0454545454545,7.95454545454545,0,0,6.81818181818182,4.54545454545455,6.81818181818182,1.13636363636364,1.13636363636364
"2208",6014708,"LINDA VERDE ELEMENTARY","PUBLIC",101,99.009900990099,0.99009900990099,0,0,0.99009900990099,0.99009900990099,0.99009900990099,0.99009900990099,0
"5319",6040604,"CALIFORNIA AVENUE ELEMENTARY","PUBLIC",13,46.1538461538462,38.4615384615385,0,15.3846153846154,53.8461538461538,53.8461538461538,53.8461538461538,15.3846153846154,15.3846153846154
"626",6011621,"ERNIE PYLE ELEMENTARY","PUBLIC",91,96.7032967032967,2.1978021978022,0,1.0989010989011,1.0989010989011,2.1978021978022,1.0989010989011,3.2967032967033,1.0989010989011
"6756",7021116,"CHINESE AMERICAN INTERNATIONAL SCHOOL","PRIVATE",65,96.9230769230769,1.53846153846154,0,1.53846153846154,1.53846153846154,1.53846153846154,1.53846153846154,3.07692307692308,1.53846153846154
"5819",6911564,"LAKE FOREST MONTESSORI SCHOOL","PRIVATE",10,100,0,0,0,0,0,0,0,0
"924",6099204,"DOÑA MERCED ELEMENTARY","PUBLIC",87,95.4022988505747,2.29885057471264,0,2.29885057471264,4.59770114942529,2.29885057471264,4.59770114942529,2.29885057471264,2.29885057471264
"843",6046619,"MARSHALL LANE ELEMENTARY","PUBLIC",86,95.3488372093023,4.65116279069767,0,0,2.32558139534884,2.32558139534884,1.16279069767442,4.65116279069767,1.16279069767442
"2856",6019483,"LENICIA B. WEEMES ELEMENTARY","PUBLIC",123,58.5365853658537,41.4634146341463,0,0,30.0813008130081,21.9512195121951,22.7642276422764,8.94308943089431,9.75609756097561
"774",6011969,"JOAQUIN MILLER ELEMENTARY","PUBLIC",99,93.9393939393939,6.06060606060606,0,0,3.03030303030303,2.02020202020202,3.03030303030303,1.01010101010101,1.01010101010101
"3258",6036040,"YUCCA VALLEY ELEMENTARY","PUBLIC",105,94.2857142857143,0.952380952380952,0,4.76190476190476,5.71428571428571,4.76190476190476,4.76190476190476,4.76190476190476,4.76190476190476
"5425",6056410,"WINTERS ELEMENTARY","PUBLIC",128,92.96875,2.34375,0,4.6875,4.6875,4.6875,6.25,4.6875,5.46875
"1616",6035919,"WEST RANDALL ELEMENTARY","PUBLIC",73,97.2602739726027,2.73972602739726,0,0,2.73972602739726,2.73972602739726,2.73972602739726,0,0
"2697",6017743,"KNOLLWOOD PREPARATORY ACADEMY","PUBLIC",95,85.2631578947368,6.31578947368421,0,8.42105263157895,12.6315789473684,11.5789473684211,13.6842105263158,10.5263157894737,9.47368421052632
"581",6011498,"TRACY ELEMENTARY","PUBLIC",105,100,0,0,0,0,0,0,0,0
"1290",6110894,"PATWIN ELEMENTARY","PUBLIC",74,97.2972972972973,1.35135135135135,0,1.35135135135135,1.35135135135135,1.35135135135135,1.35135135135135,2.7027027027027,1.35135135135135
"6734",7005705,"COVENANT CHRISTIAN","PRIVATE",10,60,40,0,0,40,40,10,0,0
"4755",6089130,"TWIN CREEKS ELEMENTARY","PUBLIC",82,90.2439024390244,8.53658536585366,0,1.21951219512195,8.53658536585366,7.31707317073171,9.75609756097561,3.65853658536585,4.8780487804878
"6477",6978597,"THE CAREY SCHOOL","PRIVATE",42,83.3333333333333,2.38095238095238,2.38095238095238,11.9047619047619,14.2857142857143,16.6666666666667,14.2857142857143,14.2857142857143,14.2857142857143
"4114",6042477,"RIPON ELEMENTARY","PUBLIC",76,94.7368421052632,0,0,5.26315789473684,5.26315789473684,5.26315789473684,5.26315789473684,5.26315789473684,5.26315789473684
"555",6009062,"LONGFELLOW ELEMENTARY","PUBLIC",139,91.3669064748201,7.19424460431655,1.43884892086331,0,8.63309352517986,3.59712230215827,8.63309352517986,5.75539568345324,2.15827338129496
"5880",6924344,"RANCHO CHRISTIAN SCHOOL","PRIVATE",59,89.8305084745763,1.69491525423729,0,8.47457627118644,10.1694915254237,10.1694915254237,10.1694915254237,8.47457627118644,8.47457627118644
"208",6054241,"JOHN J. DOYLE ELEMENTARY","PUBLIC",118,98.3050847457627,1.69491525423729,0,0,1.69491525423729,0.847457627118644,0,0.847457627118644,0
"5667",6142145,"VENTANA SCHOOL","PRIVATE",17,82.3529411764706,11.7647058823529,0,5.88235294117647,17.6470588235294,17.6470588235294,17.6470588235294,5.88235294117647,5.88235294117647
"2718",6017958,"LORETO STREET ELEMENTARY","PUBLIC",54,74.0740740740741,25.9259259259259,0,0,18.5185185185185,12.962962962963,14.8148148148148,7.40740740740741,1.85185185185185
"998",6035554,"GLENMEADE ELEMENTARY","PUBLIC",62,100,0,0,0,0,0,0,0,0
"4635",6034482,"DEL DAYO ELEMENTARY","PUBLIC",90,92.2222222222222,1.11111111111111,0,6.66666666666667,7.77777777777778,7.77777777777778,7.77777777777778,6.66666666666667,6.66666666666667
"4301",6026611,"SHERWOOD ELEMENTARY","PUBLIC",114,92.1052631578947,7.89473684210526,0,0,7.01754385964912,5.26315789473684,7.89473684210526,0,0
