"","name","pubpriv","reported"
"101","DONALD GRAHAM ELEMENTARY","PUBLIC","Y"
"102","WILLIAM COLLIER ELEMENTARY","PUBLIC","Y"
"103","RICE CANYON ELEMENTARY","PUBLIC","Y"
"104","COTTONWOOD CANYON ELEMENTARY","PUBLIC","Y"
"105","FRENCH VALLEY ELEMENTARY","PUBLIC","Y"
"106","ALAMOS ELEMENTARY","PUBLIC","Y"
"107","CROWNE HILL ELEMENTARY","PUBLIC","Y"
"108","SUSAN LA VORGNA ELEMENTARY","PUBLIC","Y"
"109","TONY TOBIN ELEMENTARY","PUBLIC","Y"
"110","TEMECULA LUISENO ELEMENTARY","PUBLIC","Y"
"111","TEMECULA PREPARATORY","PUBLIC","Y"
"112","VAIL ELEMENTARY","PUBLIC","Y"
"113","RANCHO ELEMENTARY","PUBLIC","Y"
"114","TEMECULA ELEMENTARY","PUBLIC","Y"
"115","NICOLAS VALLEY ELEMENTARY","PUBLIC","Y"
"116","RED HAWK ELEMENTARY","PUBLIC","Y"
"117","TEMECULA VALLEY CHARTER","PUBLIC","Y"
"118","PALOMA ELEMENTARY","PUBLIC","Y"
"119","PAUBA VALLEY ELEMENTARY","PUBLIC","Y"
"120","VINTAGE HILLS ELEMENTARY","PUBLIC","Y"
"121","HELEN HUNT JACKSON ELEMENTARY","PUBLIC","Y"
"122","ABBY REINKE ELEMENTARY","PUBLIC","Y"
"123","YSABEL BARNETT ELEMENTARY","PUBLIC","Y"
"124","MONTE VISTA ELEMENTARY","PUBLIC","Y"
"125","ANTELOPE HILLS ELEMENTARY","PUBLIC","Y"
"126","LISA J. MAILS ELEMENTARY","PUBLIC","Y"
"127","MURRIETA ELEMENTARY","PUBLIC","Y"
"128","AVAXAT ELEMENTARY","PUBLIC","Y"
"129","ALTA MURRIETA ELEMENTARY","PUBLIC","Y"
"130","E. HALE CURRAN ELEMENTARY","PUBLIC","Y"
"131","RAIL RANCH ELEMENTARY","PUBLIC","Y"
"132","TOVASHAL ELEMENTARY","PUBLIC","Y"
"133","COLE CANYON ELEMENTARY","PUBLIC","Y"
"134","DANIEL N. BUCHANAN ELEMENTARY","PUBLIC","Y"
"135","BIG SUR CHARTER","PUBLIC","Y"
"136","ALTA VISTA ELEMENTARY","PUBLIC","Y"
"137","BERYL HEIGHTS ELEMENTARY","PUBLIC","Y"
"138","BIRNEY ELEMENTARY","PUBLIC","Y"
"139","JEFFERSON ELEMENTARY","PUBLIC","Y"
"140","LINCOLN ELEMENTARY","PUBLIC","Y"
"141","MADISON ELEMENTARY","PUBLIC","Y"
"142","TULITA ELEMENTARY","PUBLIC","Y"
"143","WASHINGTON ELEMENTARY","PUBLIC","Y"
"144","DOS PALOS ELEMENTARY","PUBLIC","Y"
"145","VILLAGE CHARTER","PUBLIC","Y"
"146","CALI CALMECAC LANGUAGE ACADEMY","PUBLIC","Y"
"147","MATTIE WASHBURN ELEMENTARY","PUBLIC","Y"
"148","J. E. HESTER ELEMENTARY","PUBLIC","Y"
"149","WITTER RANCH ELEMENTARY","PUBLIC","Y"
"150","WESTLAKE CHARTER","PUBLIC","Y"
"151","HERON","PUBLIC","Y"
"152","H. ALLEN HIGHT ELEMENTARY","PUBLIC","Y"
"153","NATOMAS CHARTER","PUBLIC","Y"
"154","AMERICAN LAKES ELEMENTARY","PUBLIC","Y"
"155","JEFFERSON ELEMENTARY","PUBLIC","Y"
"156","BANNON CREEK ELEMENTARY","PUBLIC","Y"
"157","NATOMAS PARK ELEMENTARY","PUBLIC","Y"
"158","TWO RIVERS ELEMENTARY","PUBLIC","Y"
"159","FERNDALE ELEMENTARY","PUBLIC","Y"
"160","MATTOLE VALLEY CHARTER (#159)","PUBLIC","Y"
"161","HARMONY ELEMENTARY","PUBLIC","Y"
"162","EL CAPITAN ELEMENTARY","PUBLIC","Y"
"163","SCHENDEL ELEMENTARY","PUBLIC","Y"
"164","FIPPS PRIMARY","PUBLIC","Y"
"165","WARNER ELEMENTARY","PUBLIC","Y"
"166","BROOK KNOLL ELEMENTARY","PUBLIC","Y"
"167","VINE HILL ELEMENTARY","PUBLIC","Y"
"168","HEALDSBURG CHARTER","PUBLIC","Y"
"169","HEALDSBURG ELEMENTARY","PUBLIC","Y"
"170","MILL STREET ELEMENTARY","PUBLIC","Y"
"171","LA GLORIA ELEMENTARY","PUBLIC","Y"
"172","PRIMARY CHARTER","PUBLIC","Y"
"173","GEORGE KELLY ELEMENTARY","PUBLIC","Y"
"174","CENTRAL ELEMENTARY","PUBLIC","Y"
"175","MCKINLEY ELEMENTARY","PUBLIC","Y"
