"","name","pubpriv","reported"
"1195","LANG RANCH","PUBLIC","Y"
"1196","SYCAMORE CANYON","PUBLIC","Y"
"1197","WHALE GULCH ELEMENTARY","PUBLIC","N"
"1198","BRET HARTE ELEMENTARY","PUBLIC","Y"
"1199","WOODSON ELEMENTARY","PUBLIC","Y"
"1200","WEST STREET ELEMENTARY","PUBLIC","Y"
"1201","OLIVE VIEW ELEMENTARY","PUBLIC","Y"
"1202","RANCHO TEHAMA ELEMENTARY","PUBLIC","Y"
"1203","CLARA BARTON ELEMENTARY","PUBLIC","Y"
"1204","TEMESCAL VALLEY ELEMENTARY","PUBLIC","Y"
"1205","DWIGHT D. EISENHOWER ELEMENTARY","PUBLIC","Y"
"1206","HARADA ELEMENTARY","PUBLIC","Y"
"1207","EASTVALE ELEMENTARY","PUBLIC","Y"
"1208","DR. BERNICE JAMESON TODD ELEMENTARY","PUBLIC","Y"
"1209","ROSA PARKS ELEMENTARY","PUBLIC","Y"
"1210","LOUIS VANDERMOLEN FUNDAMENTAL ELEMENTARY","PUBLIC","Y"
"1211","JOHN ADAMS ELEMENTARY","PUBLIC","Y"
"1212","CORONITA ELEMENTARY","PUBLIC","Y"
"1213","GARRETSON ELEMENTARY","PUBLIC","Y"
"1214","GEORGE WASHINGTON ELEMENTARY","PUBLIC","Y"
"1215","HIGHLAND ELEMENTARY","PUBLIC","Y"
"1216","HOME GARDENS ACADEMY","PUBLIC","Y"
"1217","JEFFERSON ELEMENTARY","PUBLIC","Y"
"1218","LINCOLN ALTERNATIVE ELEMENTARY","PUBLIC","Y"
"1219","NORCO ELEMENTARY","PUBLIC","Y"
"1220","PARKRIDGE ELEMENTARY","PUBLIC","Y"
"1221","RIVERVIEW ELEMENTARY","PUBLIC","Y"
"1222","SIERRA VISTA ELEMENTARY","PUBLIC","Y"
"1223","VICENTIA ELEMENTARY","PUBLIC","Y"
"1224","JOHN STALLINGS ELEMENTARY","PUBLIC","Y"
"1225","FOOTHILL ELEMENTARY","PUBLIC","Y"
"1226","PRADO VIEW ELEMENTARY","PUBLIC","Y"
"1227","WILLIAM MCKINLEY ELEMENTARY","PUBLIC","Y"
"1228","SUSAN B. ANTHONY ELEMENTARY","PUBLIC","Y"
"1229","CESAR CHAVEZ ACADEMY","PUBLIC","Y"
"1230","BENJAMIN FRANKLIN ELEMENTARY","PUBLIC","Y"
"1231","WOODROW WILSON ELEMENTARY","PUBLIC","Y"
"1232","CORONA RANCH ELEMENTARY","PUBLIC","Y"
"1233","ORANGE ELEMENTARY","PUBLIC","Y"
"1234","CORONADO VILLAGE ELEMENTARY","PUBLIC","Y"
"1235","SILVER STRAND ELEMENTARY","PUBLIC","Y"
"1236","UNIVERSITY ELEMENTARY AT LA FIESTA","PUBLIC","Y"
"1237","JOHN REED ELEMENTARY","PUBLIC","Y"
"1238","THOMAS PAGE ELEMENTARY","PUBLIC","Y"
"1239","EVERGREEN ELEMENTARY","PUBLIC","Y"
"1240","MARGUERITE HAHN ELEMENTARY","PUBLIC","Y"
"1241","MONTE VISTA ELEMENTARY","PUBLIC","Y"
"1242","NORTH COTTONWOOD","PUBLIC","Y"
"1243","COTTONWOOD CREEK CHARTER SCHOOL","PUBLIC","Y"
"1244","BARRANCA ELEMENTARY","PUBLIC","Y"
"1245","BEN LOMOND ELEMENTARY","PUBLIC","Y"
"1246","CYPRESS ELEMENTARY","PUBLIC","Y"
"1247","GROVECENTER ELEMENTARY","PUBLIC","Y"
"1248","LARK ELLEN ELEMENTARY","PUBLIC","Y"
"1249","MANZANITA ELEMENTARY","PUBLIC","Y"
"1250","MERWIN ELEMENTARY","PUBLIC","Y"
"1251","MESA ELEMENTARY","PUBLIC","Y"
"1252","ROWLAND AVENUE ELEMENTARY","PUBLIC","Y"
"1253","WORKMAN AVENUE ELEMENTARY","PUBLIC","Y"
"1254","CUDDEBACK ELEMENTARY","PUBLIC","N"
"1255","LINWOOD E. HOWE ELEMENTARY","PUBLIC","Y"
"1256","EL MARINO ELEMENTARY","PUBLIC","Y"
"1257","EL RINCON ELEMENTARY","PUBLIC","Y"
"1258","FARRAGUT ELEMENTARY","PUBLIC","Y"
"1259","LA BALLONA ELEMENTARY","PUBLIC","Y"
"1260","C. B. EATON ELEMENTARY","PUBLIC","Y"
"1261","CHESTER W. NIMITZ ELEMENTARY","PUBLIC","Y"
"1262","L. P. COLLINS ELEMENTARY","PUBLIC","Y"
"1263","D. J. SEDGWICK ELEMENTARY","PUBLIC","Y"
"1264","DWIGHT D. EISENHOWER ELEMENTARY","PUBLIC","Y"
"1265","GARDEN GATE ELEMENTARY","PUBLIC","Y"
"1266","JOHN MUIR ELEMENTARY","PUBLIC","Y"
"1267","CHRISTA MCAULIFFE ELEMENTARY","PUBLIC","Y"
"1268","ABRAHAM LINCOLN ELEMENTARY","PUBLIC","Y"
"1269","LOUIS E. STOCKLMEIR ELEMENTARY","PUBLIC","Y"
"1270","MANUEL DE VARGAS ELEMENTARY","PUBLIC","Y"
"1271","MONTCLAIRE ELEMENTARY","PUBLIC","Y"
"1272","NELSON S. DILWORTH ELEMENTARY","PUBLIC","Y"
"1273","MURDOCK-PORTAL ELEMENTARY","PUBLIC","Y"
"1274","R. I. MEYERHOLZ ELEMENTARY","PUBLIC","Y"
"1275","WILLIAM REGNART ELEMENTARY","PUBLIC","Y"
"1276","STEVENS CREEK ELEMENTARY","PUBLIC","Y"
"1277","WEST VALLEY ELEMENTARY","PUBLIC","Y"
"1278","WILLIAM FARIA ELEMENTARY","PUBLIC","Y"
"1279","BLUE HILLS ELEMENTARY","PUBLIC","Y"
"1280","CURTIS CREEK ELEMENTARY","PUBLIC","Y"
"1281","ESPERANZA HIGH","PUBLIC","N"
"1282","CUTLER ELEMENTARY","PUBLIC","Y"
"1283","PALM ELEMENTARY","PUBLIC","Y"
"1284","GOLDEN VALLEY ELEMENTARY","PUBLIC","Y"
"1285","RIDGEWOOD ELEMENTARY","PUBLIC","Y"
"1286","A. E. ARNOLD ELEMENTARY","PUBLIC","Y"
"1287","CLARA J. KING ELEMENTARY","PUBLIC","Y"
"1288","FRANK VESSELS ELEMENTARY","PUBLIC","Y"
"1289","JULIET MORRIS ELEMENTARY","PUBLIC","Y"
"1290","MARGARET LANDELL ELEMENTARY","PUBLIC","Y"
"1291","STEVE LUTHER ELEMENTARY","PUBLIC","Y"
"1292","FRED T. KOREMATSU ELEMENTARY SCHOOL AT MACE RANCH","PUBLIC","Y"
"1293","BIRCH LANE ELEMENTARY","PUBLIC","Y"
"1294","FAIRFIELD ELEMENTARY","PUBLIC","Y"
"1295","NORTH DAVIS ELEMENTARY","PUBLIC","Y"
"1296","PIONEER ELEMENTARY","PUBLIC","Y"
"1297","CESAR CHAVEZ ELEMENTARY","PUBLIC","Y"
"1298","ROBERT E. WILLETT ELEMENTARY","PUBLIC","Y"
"1299","PATWIN ELEMENTARY","PUBLIC","Y"
"1300","MARGUERITE MONTGOMERY ELEMENTARY","PUBLIC","Y"
"1301","THE HEIGHTS CHARTER","PUBLIC","Y"
"1302","COMMUNITY MONTESSORI CHARTER","PUBLIC","Y"
"1303","DEHESA ELEMENTARY","PUBLIC","Y"
"1304","DEHESA CHARTER","PUBLIC","Y"
"1305","SYCAMORE RIDGE","PUBLIC","Y"
"1306","OCEAN AIR","PUBLIC","Y"
"1307","DEL MAR HEIGHTS ELEMENTARY","PUBLIC","Y"
"1308","DEL MAR HILLS ELEMENTARY","PUBLIC","Y"
"1309","CARMEL DEL MAR ELEMENTARY","PUBLIC","Y"
"1310","ASHLEY FALLS ELEMENTARY","PUBLIC","Y"
"1311","SAGE CANYON","PUBLIC","Y"
"1312","TORREY HILLS","PUBLIC","Y"
"1313","BESS MAXWELL ELEMENTARY","PUBLIC","Y"
"1314","JOE HAMILTON ELEMENTARY","PUBLIC","Y"
"1315","MARGARET KEATING ELEMENTARY","PUBLIC","Y"
"1316","PINE GROVE ELEMENTARY","PUBLIC","Y"
"1317","REDWOOD ELEMENTARY","PUBLIC","Y"
"1318","SMITH RIVER ELEMENTARY","PUBLIC","Y"
"1319","MARY PEACOCK ELEMENTARY","PUBLIC","Y"
"1320","HARVEST ELEMENTARY","PUBLIC","Y"
"1321","NUEVA VISTA LANGUAGE ACADEMY","PUBLIC","Y"
"1322","PIONEER","PUBLIC","Y"
"1323","ALBANY PARK ELEMENTARY","PUBLIC","Y"
"1324","DEL VISTA MATH AND SCIENCE ACADEMY","PUBLIC","Y"
"1325","FREMONT ELEMENTARY","PUBLIC","Y"
"1326","TERRACE ELEMENTARY","PUBLIC","Y"
"1327","PRINCETON STREET ELEMENTARY","PUBLIC","Y"
"1328","MORNINGSIDE","PUBLIC","Y"
"1329","DENAIR ELEMENTARY","PUBLIC","Y"
"1330","DR. REYNALDO J. CARREON JR. ACADEMY","PUBLIC","Y"
"1331","BENJAMIN FRANKLIN ELEMENTARY","PUBLIC","Y"
"1332","CARRILLO RANCH ELEMENTARY","PUBLIC","Y"
"1333","RONALD REAGAN ELEMENTARY","PUBLIC","Y"
"1334","ABRAHAM LINCOLN ELEMENTARY","PUBLIC","Y"
"1335","ANDREW JACKSON ELEMENTARY","PUBLIC","Y"
"1336","DWIGHT EISENHOWER ELEMENTARY","PUBLIC","Y"
"1337","GEORGE WASHINGTON CHARTER","PUBLIC","Y"
"1338","HERBERT HOOVER ELEMENTARY","PUBLIC","Y"
"1339","JOHN F. KENNEDY ELEMENTARY","PUBLIC","Y"
"1340","MARTIN VAN BUREN ELEMENTARY","PUBLIC","Y"
"1341","THEODORE ROOSEVELT ELEMENTARY","PUBLIC","Y"
"1342","HARRY S. TRUMAN ELEMENTARY","PUBLIC","Y"
"1343","JAMES MADISON ELEMENTARY","PUBLIC","Y"
"1344","JAMES MONROE ELEMENTARY","PUBLIC","Y"
"1345","GERALD R. FORD ELEMENTARY","PUBLIC","Y"
"1346","JAMES EARL CARTER ELEMENTARY","PUBLIC","Y"
"1347","JOHN ADAMS ELEMENTARY","PUBLIC","Y"
"1348","LYNDON B. JOHNSON ELEMENTARY","PUBLIC","Y"
"1349","AMELIA EARHART ELEMENTARY SCHOOL OF INTERNATIONAL STUDIES","PUBLIC","Y"
"1350","DI GIORGIO ELEMENTARY","PUBLIC","Y"
"1351","DIXIE ELEMENTARY","PUBLIC","Y"
"1352","MARY E. SILVEIRA ELEMENTARY","PUBLIC","Y"
"1353","VALLECITO ELEMENTARY","PUBLIC","Y"
"1354","ANDERSON (LINFORD L.) ELEMENTARY","PUBLIC","Y"
"1355","TREMONT ELEMENTARY","PUBLIC","Y"
"1356","GRETCHEN HIGGINS ELEMENTARY","PUBLIC","Y"
"1357","DOUGLAS CITY ELEMENTARY","PUBLIC","Y"
"1358","GAULDIN ELEMENTARY","PUBLIC","Y"
"1359","ALAMEDA ELEMENTARY","PUBLIC","Y"
"1360","WARD ELEMENTARY","PUBLIC","Y"
"1361","LEWIS ELEMENTARY","PUBLIC","Y"
"1362","UNSWORTH ELEMENTARY","PUBLIC","Y"
"1363","GALLATIN ELEMENTARY","PUBLIC","Y"
"1364","IMPERIAL ELEMENTARY","PUBLIC","Y"
"1365","PRICE ELEMENTARY","PUBLIC","Y"
"1366","RIO HONDO ELEMENTARY","PUBLIC","Y"
"1367","RIO SAN GABRIEL ELEMENTARY","PUBLIC","Y"
"1368","WILLIAMS ELEMENTARY","PUBLIC","Y"
"1369","BARRETT RANCH ELEMENTARY","PUBLIC","Y"
"1370","DRY CREEK ELEMENTARY","PUBLIC","Y"
"1371","HERITAGE OAK ELEMENTARY","PUBLIC","Y"
"1372","ANTELOPE MEADOWS ELEMENTARY","PUBLIC","Y"
"1373","QUAIL GLEN ELEMENTARY","PUBLIC","Y"
"1374","OLIVE GROVE ELEMENTARY","PUBLIC","Y"
"1375","COYOTE RIDGE ELEMENTARY","PUBLIC","Y"
"1376","ANDRES DUARTE ELEMENTARY","PUBLIC","Y"
"1377","BEARDSLEE ELEMENTARY","PUBLIC","Y"
"1378","MAXWELL ELEMENTARY","PUBLIC","Y"
"1379","ROYAL OAKS ELEMENTARY","PUBLIC","Y"
"1380","VALLEY VIEW ELEMENTARY","PUBLIC","Y"
"1381","DUCOR UNION ELEMENTARY","PUBLIC","Y"
"1382","DUNHAM CHARTER","PUBLIC","Y"
"1383","DUNSMUIR ELEMENTARY","PUBLIC","Y"
"1384","DURHAM ELEMENTARY","PUBLIC","Y"
"1385","EARLIMART ELEMENTARY","PUBLIC","Y"
"1386","ESCUELA POPULAR ACCELERATED FAMILY LEARNING","PUBLIC","Y"
"1387","CERES ELEMENTARY","PUBLIC","Y"
"1388","EVERGREEN ELEMENTARY","PUBLIC","Y"
"1389","LA COLIMA ELEMENTARY","PUBLIC","Y"
"1390","LAUREL ELEMENTARY","PUBLIC","Y"
"1391","MULBERRY ELEMENTARY","PUBLIC","Y"
"1392","MURPHY RANCH ELEMENTARY","PUBLIC","Y"
"1393","OCEAN VIEW ELEMENTARY","PUBLIC","Y"
"1394","ORCHARD DALE ELEMENTARY","PUBLIC","Y"
"1395","SCOTT AVENUE ELEMENTARY","PUBLIC","Y"
"1396","LEFFINGWELL ELEMENTARY","PUBLIC","Y"
"1397","ANTELOPE ELEMENTARY","PUBLIC","Y"
"1398","EASTSIDE ELEMENTARY","PUBLIC","Y"
"1399","COLUMBIA ELEMENTARY","PUBLIC","Y"
"1400","TIERRA BONITA ELEMENTARY","PUBLIC","Y"
"1401","ORANGEWOOD ELEMENTARY","PUBLIC","Y"
"1402","BALLINGTON ACADEMY FOR THE ARTS AND SCIENCES","PUBLIC","Y"
"1403","IMAGINE SCHOOLS AT IMPERIAL VALLEY","PUBLIC","Y"
"1404","IMPERIAL VALLEY HOME SCHOOL ACADEMY","PUBLIC","Y"
"1405","DE ANZA MAGNET","PUBLIC","Y"
"1406","DESERT GARDEN ELEMENTARY","PUBLIC","Y"
"1407","HARDING ELEMENTARY","PUBLIC","Y"
"1408","LINCOLN ELEMENTARY","PUBLIC","Y"
"1409","MARGARET HEDRICK ELEMENTARY","PUBLIC","Y"
"1410","MCKINLEY ELEMENTARY","PUBLIC","Y"
"1411","WASHINGTON ELEMENTARY","PUBLIC","Y"
"1412","MARTIN LUTHER KING JR. ELEMENTARY","PUBLIC","Y"
"1413","SUNFLOWER ELEMENTARY","PUBLIC","Y"
"1414","CHERRYLEE ELEMENTARY","PUBLIC","Y"
"1415","CLEMINSON ELEMENTARY","PUBLIC","Y"
"1416","COLUMBIA ELEMENTARY","PUBLIC","Y"
"1417","CORTADA ELEMENTARY","PUBLIC","Y"
"1418","DURFEE ELEMENTARY","PUBLIC","Y"
"1419","SHIRPSER ELEMENTARY","PUBLIC","Y"
"1420","GIDLEY ELEMENTARY","PUBLIC","Y"
"1421","LEGORE ELEMENTARY","PUBLIC","Y"
"1422","NEW LEXINGTON ELEMENTARY","PUBLIC","Y"
"1423","POTRERO ELEMENTARY","PUBLIC","Y"
"1424","RIO HONDO ELEMENTARY","PUBLIC","Y"
"1425","RIO VISTA ELEMENTARY","PUBLIC","Y"
"1426","WILKERSON ELEMENTARY","PUBLIC","Y"
"1427","WRIGHT ELEMENTARY","PUBLIC","Y"
"1428","EL NIDO ELEMENTARY","PUBLIC","Y"
"1429","ALICE M. BIRNEY ELEMENTARY","PUBLIC","Y"
"1430","DURFEE ELEMENTARY","PUBLIC","Y"
"1431","LAWRENCE T. MAGEE ELEMENTARY","PUBLIC","Y"
"1432","NORTH RANCHITO ELEMENTARY","PUBLIC","Y"
"1433","RIO VISTA ELEMENTARY","PUBLIC","Y"
"1434","RIVERA ELEMENTARY","PUBLIC","Y"
"1435","SOUTH RANCHITO ELEMENTARY","PUBLIC","Y"
"1436","VALENCIA ELEMENTARY","PUBLIC","Y"
"1437","CENTER STREET ELEMENTARY","PUBLIC","Y"
"1438","RICHMOND STREET ELEMENTARY","PUBLIC","Y"
"1439","EDNA BATEY ELEMENTARY","PUBLIC","Y"
"1440","ARLENE HEIN ELEMENTARY","PUBLIC","Y"
"1441","ROY HERBURGER ELEMENTARY","PUBLIC","Y"
"1442","ARNOLD ADREANI ELEMENTARY","PUBLIC","Y"
"1443","HELEN CARR CASTELLO ELEMENTARY","PUBLIC","Y"
"1444","CARROLL ELEMENTARY","PUBLIC","Y"
"1445","CALIFORNIA MONTESSORI PROJECT - ELK GROVE CAMPUS","PUBLIC","Y"
"1446","SUNRISE ELEMENTARY","PUBLIC","Y"
"1447","ANNA KIRCHGATER ELEMENTARY","PUBLIC","Y"
"1448","CHARLES E. MACK ELEMENTARY","PUBLIC","Y"
"1449","COSUMNES RIVER ELEMENTARY","PUBLIC","Y"
"1450","DAVID REESE ELEMENTARY","PUBLIC","Y"
"1451","C. W. DILLARD ELEMENTARY","PUBLIC","Y"
"1452","ELK GROVE ELEMENTARY","PUBLIC","Y"
"1453","FLORIN ELEMENTARY","PUBLIC","Y"
"1454","FRANKLIN ELEMENTARY","PUBLIC","Y"
"1455","JAMES A. MCKEE ELEMENTARY","PUBLIC","Y"
"1456","PLEASANT GROVE ELEMENTARY","PUBLIC","Y"
"1457","SAMUEL KENNEDY ELEMENTARY","PUBLIC","Y"
"1458","SIERRA-ENTERPRISE ELEMENTARY","PUBLIC","Y"
"1459","HERMAN LEIMBACH ELEMENTARY","PUBLIC","Y"
"1460","FLORENCE MARKOFER ELEMENTARY","PUBLIC","Y"
"1461","PRAIRIE ELEMENTARY","PUBLIC","Y"
"1462","ELLEN FEICKERT ELEMENTARY","PUBLIC","Y"
"1463","ISABELLE JACKSON ELEMENTARY","PUBLIC","Y"
"1464","FOULKS RANCH ELEMENTARY","PUBLIC","Y"
"1465","UNION HOUSE ELEMENTARY","PUBLIC","Y"
"1466","JOHN REITH ELEMENTARY","PUBLIC","Y"
"1467","ARTHUR C. BUTLER ELEMENTARY","PUBLIC","Y"
"1468","JOHN EHRHARDT ELEMENTARY","PUBLIC","Y"
"1469","MARY TSUKAMOTO ELEMENTARY","PUBLIC","Y"
"1470","ELITHA DONNER ELEMENTARY","PUBLIC","Y"
"1471","BARBARA COMSTOCK MORSE ELEMENTARY","PUBLIC","Y"
"1472","MAEOLA E. BEITZEL ELEMENTARY","PUBLIC","Y"
"1473","JOSEPH SIMS ELEMENTARY","PUBLIC","Y"
"1474","RAYMOND CASE ELEMENTARY","PUBLIC","Y"
"1475","STONE LAKE ELEMENTARY","PUBLIC","Y"
"1476","IRENE B. WEST ELEMENTARY","PUBLIC","Y"
"1477","ROBERT J. FITE ELEMENTARY","PUBLIC","Y"
"1478","ELLIOTT RANCH ELEMENTARY","PUBLIC","Y"
"1479","ELK HILLS ELEMENTARY","PUBLIC","Y"
"1480","ELVERTA ELEMENTARY","PUBLIC","Y"
"1481","ANNA YATES ELEMENTARY","PUBLIC","Y"
"1482","EMPIRE ELEMENTARY","PUBLIC","Y"
"1483","CAPISTRANO ELEMENTARY","PUBLIC","Y"
"1484","CHRISTINE SIPHERD ELEMENTARY","PUBLIC","Y"
"1485","BERNARD L. HUGHES ELEMENTARY","PUBLIC","Y"
"1486","ALICE N. STROUD ELEMENTARY","PUBLIC","Y"
"1487","PAUL ECKE-CENTRAL ELEMENTARY","PUBLIC","Y"
"1488","OCEAN KNOLL ELEMENTARY","PUBLIC","Y"
"1489","CAPRI ELEMENTARY","PUBLIC","Y"
"1490","PARK DALE LANE ELEMENTARY","PUBLIC","Y"
"1491","FLORA VISTA ELEMENTARY","PUBLIC","Y"
"1492","LA COSTA HEIGHTS ELEMENTARY","PUBLIC","Y"
"1493","MISSION ESTANCIA ELEMENTARY","PUBLIC","Y"
"1494","OLIVENHAIN PIONEER ELEMENTARY","PUBLIC","Y"
"1495","EL CAMINO CREEK ELEMENTARY","PUBLIC","Y"
"1496","ALTA MESA ELEMENTARY","PUBLIC","Y"
"1497","LASSEN VIEW ELEMENTARY","PUBLIC","Y"
"1498","MISTLETOE ELEMENTARY","PUBLIC","Y"
"1499","ROTHER ELEMENTARY","PUBLIC","Y"
"1500","SHASTA MEADOWS ELEMENTARY","PUBLIC","Y"
"1501","BOULDER CREEK ELEMENTARY","PUBLIC","Y"
"1502","ESCALON CHARTER ACADEMY","PUBLIC","Y"
"1503","COLLEGEVILLE ELEMENTARY","PUBLIC","Y"
"1504","DENT ELEMENTARY","PUBLIC","Y"
"1505","FARMINGTON ELEMENTARY","PUBLIC","Y"
"1506","VAN ALLEN ELEMENTARY","PUBLIC","Y"
"1507","HERITAGE K-8 CHARTER","PUBLIC","Y"
"1508","FARR AVENUE ELEMENTARY","PUBLIC","Y"
"1509","REIDY CREEK ELEMENTARY","PUBLIC","Y"
"1510","BERNARDO ELEMENTARY","PUBLIC","Y"
"1511","CENTRAL ELEMENTARY","PUBLIC","Y"
"1512","CONWAY ELEMENTARY","PUBLIC","Y"
"1513","FELICITA ELEMENTARY","PUBLIC","Y"
"1514","JUNIPER ELEMENTARY","PUBLIC","Y"
"1515","LINCOLN ELEMENTARY","PUBLIC","Y"
"1516","OAK HILL ELEMENTARY","PUBLIC","Y"
"1517","ROSE ELEMENTARY","PUBLIC","Y"
"1518","GLEN VIEW ELEMENTARY","PUBLIC","Y"
"1519","ORANGE GLEN ELEMENTARY","PUBLIC","Y"
"1520","MILLER ELEMENTARY","PUBLIC","Y"
"1521","NORTH BROADWAY ELEMENTARY","PUBLIC","Y"
"1522","L. R. GREEN ELEMENTARY","PUBLIC","Y"
"1523","PIONEER ELEMENTARY","PUBLIC","Y"
"1524","ROCK SPRINGS ELEMENTARY","PUBLIC","Y"
"1525","CLASSICAL ACADEMY","PUBLIC","Y"
"1526","ESPARTO K-8","PUBLIC","Y"
"1527","ETIWANDA COLONY ELEMENTARY","PUBLIC","Y"
"1528","PERDEW ELEMENTARY","PUBLIC","Y"
"1529","WINDROWS ELEMENTARY","PUBLIC","Y"
"1530","CARYN ELEMENTARY","PUBLIC","Y"
"1531","WEST HERITAGE ELEMENTARY","PUBLIC","Y"
"1532","CARLETON P. LIGHTFOOT ELEMENTARY","PUBLIC","Y"
"1533","TERRA VISTA ELEMENTARY","PUBLIC","Y"
"1534","EAST HERITAGE ELEMENTARY","PUBLIC","Y"
"1535","DAVID W. LONG ELEMENTARY","PUBLIC","Y"
"1536","CECILIA LUCERO SOLORIO ELEMENTARY","PUBLIC","Y"
"1537","JOHN L. GOLDEN ELEMENTARY","PUBLIC","Y"
"1538","GRAPELAND ELEMENTARY","PUBLIC","Y"
"1539","GREENHILLS ELEMENTARY","PUBLIC","Y"
"1540","OAKHILLS ELEMENTARY","PUBLIC","Y"
"1541","MAIDU ELEMENTARY","PUBLIC","Y"
"1542","CAROLYN A. CLARK ELEMENTARY","PUBLIC","Y"
"1543","CADWALLADER ELEMENTARY","PUBLIC","Y"
"1544","EVERGREEN ELEMENTARY","PUBLIC","Y"
"1545","HOLLY OAK ELEMENTARY","PUBLIC","Y"
"1546","KATHERINE R. SMITH ELEMENTARY","PUBLIC","Y"
"1547","O. B. WHALEY ELEMENTARY","PUBLIC","Y"
"1548","CEDAR GROVE ELEMENTARY","PUBLIC","Y"
"1549","LAURELWOOD ELEMENTARY","PUBLIC","Y"
"1550","JOHN J. MONTGOMERY ELEMENTARY","PUBLIC","Y"
"1551","NORWOOD CREEK ELEMENTARY","PUBLIC","Y"
"1552","MILLBROOK ELEMENTARY","PUBLIC","Y"
"1553","DOVE HILL ELEMENTARY","PUBLIC","Y"
"1554","SILVER OAK ELEMENTARY","PUBLIC","Y"
"1555","TOM MATSUMOTO ELEMENTARY","PUBLIC","Y"
"1556","JAMES FRANKLIN SMITH ELEMENTARY","PUBLIC","Y"
"1557","EVERGREEN ELEMENTARY","PUBLIC","Y"
"1558","VIRGINIA AVENUE ELEMENTARY","PUBLIC","Y"
"1559","DAVID A. WEIR ELEMENTARY","PUBLIC","Y"
"1560","ROLLING HILLS ELEMENTARY","PUBLIC","Y"
"1561","CORDELIA HILLS ELEMENTARY","PUBLIC","Y"
"1562","H. GLENN RICHARDSON","PUBLIC","N"
"1563","ANNA KYLE ELEMENTARY","PUBLIC","Y"
"1564","CLEO GORDON ELEMENTARY","PUBLIC","Y"
"1565","CRESCENT ELEMENTARY","PUBLIC","Y"
"1566","E. RUTH SHELDON ELEMENTARY","PUBLIC","Y"
"1567","FAIRVIEW ELEMENTARY","PUBLIC","Y"
"1568","K. I. JONES ELEMENTARY","PUBLIC","Y"
"1569","SUISUN VALLEY ELEMENTARY","PUBLIC","Y"
"1570","TOLENAS ELEMENTARY","PUBLIC","Y"
"1571","SUISUN ELEMENTARY","PUBLIC","Y"
"1572","OAKBROOK ELEMENTARY","PUBLIC","Y"
"1573","DAN O. ROOT ELEMENTARY","PUBLIC","Y"
"1574","B. GALE WILSON ELEMENTARY","PUBLIC","Y"
"1575","LAUREL CREEK ELEMENTARY","PUBLIC","Y"
"1576","NELDA MUNDY ELEMENTARY","PUBLIC","Y"
"1577","BURNEY ELEMENTARY","PUBLIC","Y"
"1578","FALL RIVER ELEMENTARY SCHOOL","PUBLIC","Y"
"1579","LA PALOMA ELEMENTARY","PUBLIC","Y"
"1580","FALLBROOK STREET ELEMENTARY","PUBLIC","Y"
"1581","MARY FAY PENDLETON ELEMENTARY","PUBLIC","Y"
"1582","SAN ONOFRE ELEMENTARY","PUBLIC","Y"
"1583","IOWA STREET","PUBLIC","Y"
"1584","LIVE OAK ELEMENTARY","PUBLIC","Y"
"1585","WILLIAM H. FRAZIER ELEMENTARY","PUBLIC","Y"
"1586","FIELDBROOK ELEMENTARY","PUBLIC","Y"
"1587","MOUNTAIN VISTA","PUBLIC","Y"
"1588","PIRU ELEMENTARY","PUBLIC","Y"
"1589","SAN CAYETANO ELEMENTARY","PUBLIC","Y"
"1590","HAZEL M. BAILEY PRIMARY","PUBLIC","Y"
"1591","SANDRA J. GALLARDO ELEMENTARY","PUBLIC","Y"
"1592","FOLSOM CORDOVA K-8 COMMUNITY CHARTER","PUBLIC","Y"
"1593","NAVIGATOR ELEMENTARY","PUBLIC","Y"
"1594","RUSSELL RANCH ELEMENTARY","PUBLIC","Y"
"1595","BLANCHE SPRENTZ ELEMENTARY","PUBLIC","Y"
"1596","CORDOVA GARDENS ELEMENTARY","PUBLIC","Y"
"1597","CORDOVA MEADOWS ELEMENTARY","PUBLIC","Y"
"1598","CORDOVA VILLA ELEMENTARY","PUBLIC","Y"
"1599","MATHER HEIGHTS ELEMENTARY","PUBLIC","Y"
"1600","PETER J. SHIELDS ELEMENTARY","PUBLIC","Y"
"1601","RANCHO CORDOVA ELEMENTARY","PUBLIC","Y"
"1602","THEODORE JUDAH ELEMENTARY","PUBLIC","Y"
"1603","WHITE ROCK ELEMENTARY","PUBLIC","Y"
"1604","WILLIAMSON ELEMENTARY","PUBLIC","Y"
"1605","CARL H. SUNDAHL ELEMENTARY","PUBLIC","Y"
"1606","OAK CHAN ELEMENTARY","PUBLIC","Y"
"1607","FOLSOM HILLS ELEMENTARY","PUBLIC","Y"
"1608","NATOMA STATION ELEMENTARY","PUBLIC","Y"
"1609","GOLD RIDGE ELEMENTARY","PUBLIC","Y"
"1610","EMPIRE OAKS ELEMENTARY","PUBLIC","Y"
"1611","ALMOND ELEMENTARY","PUBLIC","Y"
"1612","DOROTHY GRANT ELEMENTARY","PUBLIC","Y"
"1613","KATHY BINKS ELEMENTARY","PUBLIC","Y"
"1614","BEECH AVENUE ELEMENTARY","PUBLIC","Y"
"1615","JUNIPER ELEMENTARY","PUBLIC","Y"
"1616","LIVE OAK ELEMENTARY","PUBLIC","Y"
"1617","MAPLE ELEMENTARY","PUBLIC","Y"
"1618","NORTH TAMARIND ELEMENTARY","PUBLIC","Y"
"1619","OLEANDER ELEMENTARY","PUBLIC","Y"
"1620","PALMETTO ELEMENTARY","PUBLIC","Y"
